jersey_number;"position";"player";"years_active"
25;"C";"ACTON, Keith";"1988-93"
36;"LW";"ADAMS, Greg";"1980-82"
25;"LW";"ADAMS, Greg";"1980-82"
27;"LW";"AFANASENKOV, Dmitry";"2006-07"
42;"RW";"AKESON, Jason";"2012-**"
41;"D";"ALBERTS, Andrew";"2008-09"
19;"RW";"ALLISON, Ray";"1981-85, 86-87"
36;"RW";"ALLISON, Ray";"1981-85, 86-87"
11;"RW";"AMONTE, Tony";"2002-04"
37;"D";"ANDERSON, Shawn";"1994-95"
14;"LW";"ANDERSSON, Mikael";"1998-00"
7;"C";"ANGOTTI, Lou";"1967-68"
8;"LW";"ANTOSKI, Shawn";"1994-96"
58;"LW";"ARMSTRONG, Bill";"H."
6;"D";"ARTHUR, Fred";"1981-82"
45;"RW";"ASHAM, Aaron";"2008-10"
4;"D";"ASHBEE, Barry";"1970-74"
44;"D";"BABYCH, Dave";"1997-99"
33;"G";"BACASHIHUA, Jason";"2012"
30;"G";"BACKLUND, Johan";"2009-12"
34;"D";"BAILEY, Reid";"1980-82"
35;"D";"BAILEY, Reid";"1980-82"
36;"D";"BAILEY, Reid";"1980-82"
9;"D";"BAILEY, Reid";"1980-82"
24;"D";"BALL, Terry";"1967-68, 69-70"
7;"LW";"BARBER, Bill";"1972-85"
23;"D";"BARNES, Norm";"1976-77, 79-81"
25;"D";"BARNES, Norm";"1976-77, 79-81"
8;"D";"BARON, Murray";"1989-91"
20;"RW";"BARRIE, Len";"1990-93"
34;"RW";"BARRIE, Len";"1990-93"
3;"D";"BARTULIS, Oskars";"2009-12"
32;"D";"BAST, Ryan";"1998-00"
21;"D";"BATHE, Frank";"1977-84"
31;"D";"BATHE, Frank";"1977-84"
5;"D";"BATHE, Frank";"1977-84"
5;"D";"BAUMGARTNER, Nolan";"2006-07"
35;"G";"BEAUREGARD, Stephane";"1992-93"
30;"G";"BELHUMEUR, Michel";"1972-73"
35;"G";"BELHUMEUR, Michel";"1972-73"
22;"LW";"BENNETT, Harvey";"1976-78"
19;"D";"BENNING, Brian";"1991-93"
42;"LW";"BERANEK, Josef";"1992-95"
19;"C";"BERGEN, Todd";"1984-85"
42;"C";"BERGEN, Todd";"1984-85"
37;"C";"BERGLUND, Bo";"1985-86"
19;"C";"BERGLUND, Bo";"1985-86"
19;"C";"BERNIER, Serge";"1968-72"
21;"C";"BERNIER, Serge";"1968-72"
34;"LW";"BERUBE, Craig";"1986-91, 98-00"
17;"LW";"BERUBE, Craig";"1986-91, 98-00"
12;"LW";"BERUBE, Craig";"1986-91, 98-00"
32;"LW";"BERUBE, Craig";"1986-91, 98-00"
11;"C";"BETTS, Blair";"2009-12"
46;"C";"BIGGS, Don";"1989-90"
43;"G";"BIRON, Martin";"2006-09"
8;"LW";"BLACKBURN, Don";"1967-69"
4;"D";"BLADON, Tom";"1972-78"
23;"D";"BLADON, Tom";"1972-78"
3;"D";"BLADON, Tom";"1972-78"
33;"(DNP)";"BLOSKI, Mike";"1985-86"
35;"G";"BOBROVSKY, Sergei";"2010-12"
40;"LW";"BOIVIN, Claude";"1991-94"
10;"LW";"BOIVIN, Claude";"1991-94"
17;"RW";"BOLAND, Mike.";"1974-75"
5;"RW";"BOLAND, Mike.";"1974-75"
28;"D";"BOTELL, Mark";"1981-82"
33;"G";"BOUCHER, Brian";"1999-02, 2009-11"
21;"RW";"BOULERICE, Jesse";"2001-02, 2007-08"
36;"RW";"BOULERICE, Jesse";"2001-02, 2007-08"
43;"D";"BOURDON, Marc-Andre";"2011-14"
24;"D";"BOYNTON, Nick";"2010-11"
28;"D";"BOWEN, Jason";"1992-97"
53;"D";"BOWEN, Jason";"1992-97"
8;"D";"BOWEN, Jason";"1992-97"
34;"D";"BOWEN, Jason";"1992-97"
87;"LW";"BRASHEAR, Donald";"2001-06"
55;"RW";"BRENDL, Pavel";"2001-03"
34;"LW";"BRICKLEY, Andy";"1982-83"
